5/11 12:24:47.240  ---- Startup ----
5/11 12:25:03.158  ---- ClientAvailableHotfixes ----
5/11 12:25:03.158  ---- UserClientHotfixRequest ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Cache ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Server ----
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16974 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16975 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16976 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16977 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16978 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16979 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16980 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16981 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16983 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16987 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16988 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16989 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16990 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16992 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16993 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16995 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16996 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16998 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16999 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17004 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17006 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17007 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17008 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17016 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17017 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17018 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17019 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17020 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17021 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17022 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17023 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17024 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17025 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17027 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17028 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 17029 valid
5/11 12:25:03.274  	63285 Table SpellCategories RecID 72336 valid
5/11 12:25:03.274  	63285 Table SpellCategories RecID 75477 valid
5/11 12:25:03.274  	63285 Table SpellCategories RecID 75801 valid
5/11 12:25:03.274  	63285 Table SpellCategories RecID 111785 valid
5/11 12:25:03.274  	63285 Table SpellEffect RecID 846438 valid
5/11 12:25:03.274  	63285 Table SpellMisc RecID 446252 valid
5/11 12:25:03.274  	63290 Table SpellEffect RecID 703911 valid
5/11 12:25:03.274  	63291 Table GameObjects RecID 175535 invalid
5/11 12:25:03.274  	63293 Table GameObjects RecID 180322 invalid
5/11 12:25:03.274  	63294 Table AnimKit RecID 22966 valid
5/11 12:25:03.274  	63294 Table AnimKitSegment RecID 45131 valid
5/11 12:25:03.274  	63294 Table Creature RecID 16844 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 16857 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 16968 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 18678 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 21380 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 21849 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 21868 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 22038 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 22466 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 22482 invalid
5/11 12:25:03.274  	63294 Table Creature RecID 23285 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 16844 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 16857 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 16968 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 18678 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 21380 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 21849 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 21868 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 22038 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 22466 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 22482 invalid
5/11 12:25:03.274  	63294 Table CreatureDifficulty RecID 23285 invalid
5/11 12:25:03.274  	63294 Table Spell RecID 33932 valid
5/11 12:25:03.274  	63294 Table SpellName RecID 33932 valid
5/11 12:25:03.274  	63294 Table SpellCraftUI RecID 33932 valid
5/11 12:25:03.274  	63294 Table SpellAuraOptions RecID 173034 invalid
5/11 12:25:03.274  	63294 Table SpellEffect RecID 852128 valid
